Property,Field,Mown,Year,Date,Time ,Surveyor,Point,<50_Males,<50_Females,<50_Total,>50_Male,>50_Females,>50_Total,Total_Counts ,Notes
Appleton Farms,Lamson Middle,Y,2023,7/9/2023,7:01,Sharon Stavropoulos,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,7/16/2023,5:56,Josh Bennett,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,7/15/2023,7:15,Pat Hand,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/2/2023,7:16,Pat Hand,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/7/2023,6:45,Sharon Stavropoulos,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/8/2023,7:21,Pat Hand,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/9/2023,N/A,John Sofia,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/11/2023,N/A,John Sofia,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/14/2023,N/A,Josh Bennett,1C,1,0,1,0,0,0,1,
Appleton Farms,Lamson South,N,2023,5/14/2023,6:42,Sharon Stavropoulos,1C,1,0,1,0,0,0,1,
Appleton Farms,Lamson South,N,2023,5/21/2023,6:52,Sharon Stavropoulos,1C,0,0,0,1,0,1,1,
Appleton Farms,Lamson South,N,2023,5/23/2023,7:16,Pat Hand,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/25/2023,7:51,Greg Power,1C,3,1,4,4,0,4,8,
Appleton Farms,Lamson South,N,2023,5/28/2023,6:58,Sharon Stavropoulos,1C,0,0,0,1,0,1,1,
Appleton Farms,Lamson South,N,2023,5/29/2023,7:16,Josh Bennett,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,6/11/2023,7:00,Sharon Stavropoulos,1C,0,0,0,1,0,1,1,
Appleton Farms,Lamson South,N,2023,6/14/2023,7:46,Pat Hand,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,6/18/2023,6:14,Josh Bennett,1C,0,0,0,1,0,1,1,
Appleton Farms,Lamson South,N,2023,6/19/2023,7:11,Sharon Stavropoulos,1C,2,2,4,0,0,0,4,
Appleton Farms,Lamson South,N,2023,6/25/2023,6:02,Josh Bennett,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/1/2023,6:53,Sharon Stavropoulos,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/9/2023,7:08,Sharon Stavropoulos,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/16/2023,6:03,Josh Bennett,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/15/2023,7:36,Pat Hand,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/2/2023,7:29,Pat Hand,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/7/2023,6:56,Sharon Stavropoulos,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/8/2023,7:30,Pat Hand,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/9/2023,N/A,John Sofia,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/11/2023,N/A,John Sofia,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/14/2023,6:03,Josh Bennett,1D,0,0,0,2,0,2,2,
Appleton Farms,Lamson South,N,2023,5/14/2023,6:51,Sharon Stavropoulos,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/21/2023,7:03,Sharon Stavropoulos,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/23/2023,7:28,Pat Hand,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/25/2023,8:01,Greg Power,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,5/28/2023,7:07,Sharon Stavropoulos,1D,0,0,0,1,0,1,1,
Appleton Farms,Lamson South,N,2023,5/29/2023,7:28,Josh Bennett,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,6/11/2023,7:10,Sharon Stavropoulos,1D,0,0,0,1,,1,1,
Appleton Farms,Lamson South,N,2023,6/14/2023,7:55,Pat Hand,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,6/18/2023,6:22,Josh Bennett,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,6/19/2023,7:22,Sharon Stavropoulos,1D,0,0,0,1,0,1,1,
Appleton Farms,Lamson South,N,2023,6/25/2023,6:09,Josh Bennett,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/1/2023,7:05,Sharon Stavropoulos,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/9/2023,7:17,Sharon Stavropoulos,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/16/2023,6:11,Josh Bennett,1D,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2023,7/15/2023,7:41,Pat Hand,1D,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/2/2023,7:40,Pat Hand,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/7/2023,7:15,Sharon Stavropoulos,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/8/2023,7:48,Pat Hand,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/9/2023,9:15 AM,John Sofia,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/11/2023,N/A,John Sofia,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/14/2023,6:21,Josh Bennett,1E,1,0,1,0,0,0,1,
Appleton Farms,GP8,N,2023,5/14/2023,7:08,Sharon Stavropoulos,1E,3,0,3,0,0,0,3,
Appleton Farms,GP8,N,2023,5/21/2023,7:20,Sharon Stavropoulos,1E,1,0,1,0,0,0,1,
Appleton Farms,GP8,N,2023,5/23/2023,7:37,Pat Hand,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/25/2023,8:23,Greg Power,1E,3,0,3,0,0,0,3,
Appleton Farms,GP8,N,2023,5/28/2023,7:23,Sharon Stavropoulos,1E,1,0,1,0,0,0,1,
Appleton Farms,GP8,N,2023,5/29/2023,7:37,Josh Bennett,1E,1,0,1,0,0,0,1,
Appleton Farms,GP8,N,2023,6/11/2023,7:30,Sharon Stavropoulos,1E,1,0,1,0,0,0,1,
Appleton Farms,GP8,N,2023,6/14/2023,8:06,Pat Hand,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,6/18/2023,5:31,Josh Bennett,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,6/19/2023,7:42,Sharon Stavropoulos,1E,1,1,2,0,0,0,2,
Appleton Farms,GP8,N,2023,6/25/2023,5:34,Josh Bennett,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,7/1/2023,7:23,Sharon Stavropoulos,1E,1,1,2,0,0,0,2,
Appleton Farms,GP8,N,2023,7/9/2023,7:33,Sharon Stavropoulos,1E,1,0,5,0,0,0,5,*1 Male and 4 potential Juveniles
Appleton Farms,GP8,N,2023,7/16/2023,5:36,Josh Bennett,1E,1,0,1,1,0,1,2,
Appleton Farms,GP8,N,2023,7/15/2023,7:57,Pat Hand,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/2/2023,7:47,Pat Hand,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/7/2023,7:21,Sharon Stavropoulos,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/8/2023,7:56,Pat Hand,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/9/2023,N/A,John Sofia,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/11/2023,N/A,John Sofia,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/14/2023,6:29,Josh Bennett,1F,1,0,1,0,0,0,1,
Appleton Farms,GP8,N,2023,5/14/2023,7:30,Sharon Stavropoulos,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/21/2023,7:30,Sharon Stavropoulos,1F,2,1,3,0,0,0,3,* 2 Male chasing one female
Appleton Farms,GP8,N,2023,5/23/2023,7:48,Pat Hand,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/25/2023,8:35,Greg Power,1F,2,0,2,0,0,0,2,
Appleton Farms,GP8,N,2023,5/28/2023,7:34,Sharon Stavropoulos,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,5/29/2023,7:48,Josh Bennett,1F,0,0,0,0,0,0,0,*Possible Grasshopper Sparrow Seen
Appleton Farms,GP8,N,2023,6/11/2023,7:38,Sharon Stavropoulos,1F,2,0,2,0,0,0,2,
Appleton Farms,GP8,N,2023,6/14/2023,8:13,Pat Hand,1F,0,0,0,0,0,0,0,*Coyoye around during monitoring visit 
Appleton Farms,GP8,N,2023,6/18/2023,5:47,Josh Bennett,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,6/19/2023,7:49,Sharon Stavropoulos,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,6/25/2023,5:39,Josh Bennett,1F,1,0,1,0,0,0,1,
Appleton Farms,GP8,N,2023,7/1/2023,7:31,Sharon Stavropoulos,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,7/9/2023,7:42,Sharon Stavropoulos,1F,0,0,0,1,0,1,1,
Appleton Farms,GP8,N,2023,7/16/2023,5:41,Josh Bennett,1F,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2023,7/15/2023,8:06,Pat Hand,1F,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,N,2023,5/6/2023,8:45,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,N,2023,5/6/2023,6:20,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,5/13/2023,8:54,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,5/13/2023,6:24,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,N,2023,5/14/2023,N/A,John Sofia,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,5/15/2023,10:57,Greg Power,2A,0,0,0,0,0,0,0,* Late survey point beacuse Field was being mowed/hayed
Appleton Farms,Wilson's,Y,2023,5/20/2023,8:28,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,5/20/2023,6:29,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,5/23/2023,N/A,Shilo McDonald,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,5/27/2023,9:13,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,5/27/2023,6:48,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,6/2/2023,6:55,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,6/7/2023,10:10,Shilo McDonald,2A,1,1,2,3,0,3,5,
Appleton Farms,Wilson's,Y,2023,6/10/2023,7:13,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,6/11/2023,8:50,Bonnie Marsan,2A,2,2,4,0,0,0,4,
Appleton Farms,Wilson's,Partial,2023,6/18/2023,9:15,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,6/22/2023,6:59,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,6/24/2023,8:37,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,6/27/2023,7:12,David Young,2A,0,0,0,1,0,1,1,
Appleton Farms,Wilson's,Y,2023,6/30/2023,6:47,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,7/8/2023,6:55,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,7/8/2023,6:43,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,7/15/2023,7:28,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,Y,2023,7/15/2023,6:42,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,N,2023,7/23/2023,8:50,Bonnie Marsan,2A,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,N,2023,7/18/2023,9:00,Shilo McDonald,2A,1,0,1,0,0,0,1,
Appleton Farms,Drainage,N,2023,5/6/2023,9:10,Bonnie Marsan,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,5/6/2023,6:35,Sharon Stavropoulos,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,5/13/2023,9:15,Bonnie Marsan,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,5/13/2023,6:40,Sharon Stavropoulos,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,5/14/2023,8:10,John Sofia,2B,1,0,1,0,0,0,1,
Appleton Farms,Drainage,N,2023,5/15/2023,9:31,Greg Power,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,5/20/2023,9:06,Bonnie Marsan,2B,1,0,1,0,0,0,1,*2 Flyovers seen
Appleton Farms,Drainage,N,2023,5/20/2023,6:42,Sharon Stavropoulos,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,5/23/2023,N/A,Shilo McDonald,2B,3,0,3,3,0,3,6,
Appleton Farms,Drainage,N,2023,5/27/2023,9:29,Bonnie Marsan,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,5/27/2023,7:00,Sharon Stavropoulos,2B,0,0,0,1,0,1,1,
Appleton Farms,Drainage,N,2023,6/2/2023,7:12,Bonnie Marsan,2B,2,0,2,0,0,0,2,
Appleton Farms,Drainage,N,2023,6/7/2023,9:50,Shilo McDonald,2B,3,0,3,3,0,3,6,
Appleton Farms,Drainage,N,2023,6/10/2023,9:17,Sharon Stavropoulos,2B,2,0,2,0,0,0,2,
Appleton Farms,Drainage,N,2023,6/11/2023,9:12,Bonnie Marsan,2B,3,0,3,0,0,0,3,
Appleton Farms,Drainage,N,2023,6/18/2023,9:30,Bonnie Marsan,2B,3,0,3,0,0,0,3,
Appleton Farms,Drainage,N,2023,6/22/2023,7:12,Sharon Stavropoulos,2B,2,1,3,0,0,0,3,
Appleton Farms,Drainage,N,2023,6/24/2023,8:52,Bonnie Marsan,2B,2,1,3,0,0,0,3,
Appleton Farms,Drainage,N,2023,6/27/2023,7:32,David Young,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,6/30/2023,7:08,Bonnie Marsan,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,7/8/2023,7:07,Bonnie Marsan,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,7/8/2023,6:55,Sharon Stavropoulos,2B,1,1,2,0,0,0,2,
Appleton Farms,Drainage,N,2023,7/15/2023,7:40,Bonnie Marsan,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,7/15/2023,6:55,Sharon Stavropoulos,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,7/23/2023,9:05,Bonnie Marsan,2B,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2023,7/18/2023,8:40,Shilo McDonald,2B,1,0,1,0,0,0,1,
Appleton Farms,Broad Meadow,N,2023,5/6/2023,9:23,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,5/6/2023,6:45,Sharon Stavropoulos,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,5/13/2023,9:29,Bonnie Marsan,2C,1,0,1,0,0,0,1,
Appleton Farms,Broad Meadow,N,2023,5/13/2023,6:55,Sharon Stavropoulos,2C,0,0,0,3,0,3,3,
Appleton Farms,Broad Meadow,N,2023,5/14/2023,7:30,John Sofia,2C,8,0,8,0,0,0,8,
Appleton Farms,Broad Meadow,N,2023,5/15/2023,9:45,Greg Power,2C,11,0,11,10,0,10,21,
Appleton Farms,Broad Meadow,N,2023,5/20/2023,9:20,Bonnie Marsan,2C,1,0,1,0,0,0,1,
Appleton Farms,Broad Meadow,N,2023,5/20/2023,6:52,Sharon Stavropoulos,2C,0,1,1,2,1,3,4,
Appleton Farms,Broad Meadow,N,2023,5/23/2023,N/A,Shilo McDonald,2C,1,0,1,2,0,2,3,
Appleton Farms,Broad Meadow,N,2023,5/27/2023,9:45,Bonnie Marsan,2C,1,0,1,0,0,0,1,
Appleton Farms,Broad Meadow,N,2023,5/27/2023,7:09,Sharon Stavropoulos,2C,0,0,0,2,1,3,3,
Appleton Farms,Broad Meadow,N,2023,6/2/2023,7:22,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,6/7/2023,10:30,Shilo McDonald,2C,1,0,1,2,0,2,3,
Appleton Farms,Broad Meadow,N,2023,6/10/2023,7:36,Sharon Stavropoulos,2C,2,0,2,0,0,0,2,
Appleton Farms,Broad Meadow,N,2023,6/11/2023,9:23,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,6/18/2023,9:45,Bonnie Marsan,2C,2,0,2,0,0,0,2,
Appleton Farms,Broad Meadow,N,2023,6/22/2023,7:23,Sharon Stavropoulos,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,6/24/2023,9:02,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,6/27/2023,7:23,David Young,2C,2,0,2,0,0,0,2,
Appleton Farms,Broad Meadow,N,2023,6/30/2023,7:17,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,7/8/2023,7:22,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,7/8/2023,7:07,Sharon Stavropoulos,2C,0,1,1,0,0,0,1,
Appleton Farms,Broad Meadow,N,2023,7/15/2023,7:51,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,7/15/2023,7:05,Sharon Stavropoulos,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,7/23/2023,9:15,Bonnie Marsan,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,7/18/2023,9:20,Shilo McDonald,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,5/6/2023,9:35,Bonnie Marsan,2D,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,5/6/2023,6:54,Sharon Stavropoulos,2D,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2023,5/13/2023,9:40,Bonnie Marsan,2D,10,0,10,3,0,3,13,* 3 more Flyover
Appleton Farms,Broad Meadow,N,2023,5/13/2023,7:02,Sharon Stavropoulos,2D,3,0,3,0,0,0,3,
Appleton Farms,Broad Meadow,N,2023,5/14/2023,7:00,John Sofia,2D,30,0,30,0,0,0,30,
Appleton Farms,Broad Meadow,N,2023,5/15/2023,9:54,Greg Power,2D,15,4,19,10,0,10,29,
Appleton Farms,Broad Meadow,N,2023,5/20/2023,9:30,Bonnie Marsan,2D,14,2,16,0,0,0,16,
Appleton Farms,Broad Meadow,N,2023,5/20/2023,7:01,Sharon Stavropoulos,2D,3,1,4,0,0,0,4,
Appleton Farms,Broad Meadow,N,2023,5/23/2023,N/A,Shilo McDonald,2D,0,0,0,1,0,1,1,
Appleton Farms,Broad Meadow,N,2023,5/27/2023,9:52,Bonnie Marsan,2D,8,1,9,3,1,4,13,
Appleton Farms,Broad Meadow,N,2023,5/27/2023,7:17,Sharon Stavropoulos,2D,3,0,3,0,0,0,3,
Appleton Farms,Broad Meadow,N,2023,6/2/2023,7:30,Bonnie Marsan,2D,15,0,15,4,0,4,19,
Appleton Farms,Broad Meadow,N,2023,6/7/2023,10:40,Shilo McDonald,2D,2,0,2,2,0,2,4,
Appleton Farms,Broad Meadow,N,2023,6/10/2023,7:45,Sharon Stavropoulos,2D,3,2,5,0,0,0,5,
Appleton Farms,Broad Meadow,N,2023,6/11/2023,9:35,Bonnie Marsan,2D,15,0,15,1,0,1,16,
Appleton Farms,Broad Meadow,N,2023,6/18/2023,9:55,Bonnie Marsan,2D,16,9,25,0,0,0,25,*Females may have been Fledglings noted males very protective 
Appleton Farms,Broad Meadow,N,2023,6/22/2023,7:32,Sharon Stavropoulos,2D,2,3,5,0,0,0,5,
Appleton Farms,Broad Meadow,N,2023,6/24/2023,9:12,Bonnie Marsan,2D,12,4,16,0,0,0,16,*Females Could Be Fledglings
Appleton Farms,Broad Meadow,N,2023,6/27/2023,7:43,David Young,2D,0,2,2,0,0,0,2,
Appleton Farms,Broad Meadow,N,2023,6/30/2023,7:27,Bonnie Marsan,2D,19,8,27,0,0,0,27,
Appleton Farms,Broad Meadow,N,2023,7/8/2023,7:30,Bonnie Marsan,2D,5,2,7,0,0,0,7,
Appleton Farms,Broad Meadow,N,2023,7/8/2023,7:14,Sharon Stavropoulos,2D,3,1,10,0,0,0,10,"*3 male, 1 female, 6 juveniles "
Appleton Farms,Broad Meadow,N,2023,7/15/2023,8:10,Bonnie Marsan,2D,17,14,31,0,0,0,31,*Female count- probably also juv present 
Appleton Farms,Broad Meadow,N,2023,7/15/2023,7:13,Sharon Stavropoulos,2D,N/A,N/A,14,0,0,0,14,"*Flock of M,F,J"
Appleton Farms,Broad Meadow,N,2023,7/23/2023,9:21,Bonnie Marsan,2D,0,0,0,6,2,8,8,
Appleton Farms,Broad Meadow,N,2023,7/18/2023,9:30,Shilo McDonald,2D,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow/Steer Barn,N,2023,5/6/2023,9:46,Bonnie Marsan,2E,0,0,0,0,0,0,0,*No note as to direction they were looking
Appleton Farms,Broad Meadow/Steer Barn,N,2023,5/6/2023,7:03,Sharon Stavropoulos,2E,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow/Steer Barn,N,2023,5/11/2023,N/A,John Sofia,2E,17,0,17,0,0,0,17,
Appleton Farms,Broad Meadow/Steer Barn,N,2023,5/13/2023,9:51,Bonnie Marsan,2E,0,0,0,0,0,0,0,*No note as to direction they were looking
